"id","release_date_ms","release_date_utc","title","code"
20588,1500595579000,"2017-07-21 00:06:19","Qtum Trading on Binance","115000742491"
20581,1501654968000,"2017-08-02 06:22:48","The Announcement for BCC Distribution ","115000906991"
20578,1502266291000,"2017-08-09 08:11:31","Binance Opens BNB/ETH Trading Market","115001032752"
20575,1502606273000,"2017-08-13 06:37:53","Binance Will Add USDT Market Soon(Updated)","115001094331"
20573,1503068742000,"2017-08-18 15:05:42","Binance Will Add OAX, DNT, MCO, ICN ","115001175111"
20569,1503485474000,"2017-08-23 10:51:14","Binance Will Add MCO/BTC Trading Pair On August 24","115001246232"
20566,1503562187000,"2017-08-24 08:09:47","Binance Will Add WTC(Walton) on August 27","115001264372"
20540,1504955021000,"2017-09-09 11:03:41","Binance Will List OMG Market","115001495491"
20536,1505112873000,"2017-09-11 06:54:33","Binance Will List ZRX Market","115001507232"
20534,1505196397000,"2017-09-12 06:06:37","Binance will List STRAT Market","115001522771"
20529,1505705892000,"2017-09-18 03:38:12","Binance Lists SNGLS","115001608951"
20528,1505901411000,"2017-09-20 09:56:51"," Binance Lists BQX","115001659531"
20525,1506310602000,"2017-09-25 03:36:42","Binance Lists KNC","115001720331"
20523,1506424368000,"2017-09-26 11:12:48","Binance Lists FUN","115001754652"
20522,1506495567000,"2017-09-27 06:59:27","Binance Lists SNM","115001760811"
20520,1506580428000,"2017-09-28 06:33:48","Binance Adds NEO/ETH Trading Pair","115001797412"
20519,1506585981000,"2017-09-28 08:06:21","Binance Lists LINK","115001786451"
20517,1506657989000,"2017-09-29 04:06:29","Binance Lists XVG","115001805931"
20516,1506679063000,"2017-09-29 09:57:43","Binance Lists CTR","115001821372"
20515,1506743290000,"2017-09-30 03:48:10","Binance Lists SALT","115001833332"
20513,1506762340000,"2017-09-30 09:05:40","Binance Lists IOTA","115001827791"
20509,1507175295000,"2017-10-05 03:48:15","Binance Lists MDA","115001902011"
20505,1507530301000,"2017-10-09 06:25:01","Binance Lists MTL","115001960431"
20502,1507613645000,"2017-10-10 05:34:05","Binance Lists SUB","115001974111"
20501,1507705238000,"2017-10-11 07:00:38","Binance Adds EOS/BTC Trading Pair","115002013152"
20499,1507795184000,"2017-10-12 07:59:44","Binance Adds SNT/BTC Trading Pair","115002038832"
20498,1507800794000,"2017-10-12 09:33:14","Binance Lists ETC","115002040292"
20497,1507866345000,"2017-10-13 03:45:45","Binance Lists MTH","115002043111"
20495,1507873706000,"2017-10-13 05:48:26","Binance Lists ENG","115002058812"
20491,1508126145000,"2017-10-16 03:55:45","Binance Adds DNT/BTC Trading Pair","115002101992"
20489,1508210068000,"2017-10-17 03:14:28","Binance Adds BNT/BTC Trading Pair","115002168512"
20485,1508386019000,"2017-10-19 04:06:59","Binance Lists AST","115002223411"
20481,1508468217000,"2017-10-20 02:56:57","Binance Lists DASH","115002273032"
20477,1508751476000,"2017-10-23 09:37:56","Binance Adds OAX/BTC and ICN/BTC Trading Pairs","115002340412"
20476,1508824797000,"2017-10-24 05:59:57","Binance Distributes BTG and Adds BTG Markets","115002358672"
20474,1509018738000,"2017-10-26 11:52:18","Binance Lists EVX","115002405091"
20473,1509070184000,"2017-10-27 02:09:44","Binance Lists REQ","115002422591"
20469,1509335009000,"2017-10-30 03:43:29","Binance Lists LRC","115002456831"
20468,1509349954000,"2017-10-30 07:52:34","Binance Lists VIB","115002469052"
20466,1509421336000,"2017-10-31 03:42:16","Binance Lists HSR and TRX","115002485371"
20463,1509507017000,"2017-11-01 03:30:17","Binance Lists POWR","115002511771"
20461,1509527504000,"2017-11-01 09:11:44","Binance Lists ARK","115002520852"
20460,1509593285000,"2017-11-02 03:28:05","Binance Lists YOYO","115002541572"
20459,1509609281000,"2017-11-02 07:54:41","Binance Lists XRP","115002544272"
20458,1509675517000,"2017-11-03 02:18:37","Binance Lists MOD","115002555071"
20457,1509680117000,"2017-11-03 03:35:17","Binance Lists ENJ","115002560032"
20456,1509698919000,"2017-11-03 08:48:39","Binance Lists STORJ","115002558291"
20455,1509940607000,"2017-11-06 03:56:47","Binance Adds BNB/USDT Trading Pair","115002584432"
20452,1509961169000,"2017-11-06 09:39:29","Binance Adds YOYO/BNB Trading Pair","115002587512"
20450,1510027439000,"2017-11-07 04:03:59","Binance Adds POWR/BNB Trading Pair","115002603191"
20449,1510032820000,"2017-11-07 05:33:40","Binance Adds  VEN/BTC and VEN/ETH Trading Pairs","115002603532"
20446,1510043782000,"2017-11-07 08:36:22","Binance Lists KMD","115002606332"
20444,1510110707000,"2017-11-08 03:11:47","Binance Lists NULS","115002628192"
20443,1510117670000,"2017-11-08 05:07:50","Binance Lists RCN","115002630091"
20442,1510194031000,"2017-11-09 02:20:31","Binance Adds  NULS/BTC and NULS/ETH Trading Pairs","115002663492"
20440,1510225984000,"2017-11-09 11:13:04","Binance Lists RDN","115002668532"
20439,1510294093000,"2017-11-10 06:08:13","Binance Lists XMR","115002687171"
20438,1510300536000,"2017-11-10 07:55:36","Binance Lists DLT","115002686212"
20437,1510306830000,"2017-11-10 09:40:30","Binance Adds  WTC/BNB Trading Pair","115002689251"
20436,1510308035000,"2017-11-10 10:00:35","Binance Adds  DLT/BTC and DLT/ETH Trading Pairs","115002687552"
20435,1510329779000,"2017-11-10 16:02:59","Binance Lists AMB","115002695991"
20434,1510388488000,"2017-11-11 08:21:28","Binance Adds  BCC/USDT, BCC/ETH and BCC/BNB Trading Pairs","115002707391"
20432,1510567874000,"2017-11-13 10:11:14","Binance Lists BAT","115002721972"
20430,1510631276000,"2017-11-14 03:47:56","Binance Lists ZEC","115002739912"
20427,1510658670000,"2017-11-14 11:24:30","Binance Lists BCPT","115002744272"
20426,1510713984000,"2017-11-15 02:46:24","Binance Lists ARN","115002766572"
20422,1510824868000,"2017-11-16 09:34:28","Binance Lists GVT","115002791572"
20421,1510829514000,"2017-11-16 10:51:54","Binance Lists CDT","115002792972"
20420,1510887497000,"2017-11-17 02:58:17","Binance Lists GXS","115002819892"
20416,1511149219000,"2017-11-20 03:40:19","Binance Adds  NEO/USDT and NEO/BNB Trading Pairs","115002852572"
20415,1511172141000,"2017-11-20 10:02:21","Binance Lists POE","115002858231"
20413,1511230020000,"2017-11-21 02:07:00","Binance Lists QSP","115002876032"
20412,1511246191000,"2017-11-21 06:36:31","Binance Lists BTS","115002878712"
20409,1511330091000,"2017-11-22 05:54:51","Binance Lists XZC","115002904372"
20407,1511343225000,"2017-11-22 09:33:45","Binance Lists LSK","115002908032"
20406,1511345208000,"2017-11-22 10:06:48","Binance Lists TNT","115002907731"
20404,1511425941000,"2017-11-23 08:32:21","Binance Lists FUEL","115002979891"
20402,1511490240000,"2017-11-24 02:24:00","Binance Lists MANA","115002992091"
20397,1511533205000,"2017-11-24 14:20:05","Binance Distributes Bitcoin Diamond BCD and Adds BCD Markets","115002998351"
20394,1511761691000,"2017-11-27 05:48:11","Binance Lists DGD","115003014531"
20391,1511854797000,"2017-11-28 07:39:57","Binance Adds IOTA/BNB Trading Pair","115003044672"
20388,1511924616000,"2017-11-29 03:03:36","Binance Lists ADX","115003068011"
20381,1512001589000,"2017-11-30 00:26:29","Binance Lists ADA","115003098851"
20380,1512099691000,"2017-12-01 03:41:31","Binance Lists PPT","115003127752"
20375,1512471795000,"2017-12-05 11:03:15","Binance Lists CMT","115003181091"
20373,1512712653000,"2017-12-08 05:57:33","Binance Lists XLM","115003322791"
20370,1512960878000,"2017-12-11 02:54:38","Binance Lists Cindicator (CND)","115003355151"
20369,1512980971000,"2017-12-11 08:29:31","Gifto (GIFTO) Token Sale Events","115003360011"
20366,1513040104000,"2017-12-12 00:55:04","Binance Lists Wabi (WABI)","115003404092"
20367,1513068154000,"2017-12-12 08:42:34","Binance Lists December Community Coin - ETHLend (LEND)","115003399432"
20365,1513135533000,"2017-12-13 03:25:33","Binance Adds LTC/BNB, LTC/ETH and LTC/USDT Trading Pairs","115003421092"
20357,1513297468000,"2017-12-15 00:24:28","Binance Lists Waves (WAVES)","115003455711"
20362,1513318891000,"2017-12-15 06:21:31","Binance Lists Time New Bank (TNB)","115003451291"
20355,1513572920000,"2017-12-18 04:55:20","Binance Lists ICON (ICX)","115003507132"
20354,1513576977000,"2017-12-18 06:02:57","Bread (BRD) Token Sale Events","115003481771"
20353,1513584384000,"2017-12-18 08:06:24","Binance Distributes and Lists GIFTO (GTO)","115003483271"
20349,1513662902000,"2017-12-19 05:55:02","Binance Lists Simple Token (OST)","115003530072"
20345,1513827998000,"2017-12-21 03:46:38","Binance Lists ælf (ELF)","115003576472"
20344,1513845863000,"2017-12-21 08:44:23","Binance Lists Aion (AION)","115003580272"
20341,1513924370000,"2017-12-22 06:32:50","Binance Lists Neblio (NEBL)","115003598012"
20340,1514088602000,"2017-12-24 04:10:02","Binance Distributes and Lists Bread (BRD)","115003644872"
20339,1514179371000,"2017-12-25 05:22:51","Binance Adds MCO/BNB Trading Pair","115003637211"
20338,1514184176000,"2017-12-25 06:42:56","Binance Lists Eidoo (EDO)","115003647752"
20336,1514258428000,"2017-12-26 03:20:28","Binance Lists Wings (WINGS)","115003643971"
20333,1514364337000,"2017-12-27 08:45:37","Binance Lists NAV Coin (NAV)","115003668252"
20331,1514444016000,"2017-12-28 06:53:36","Binance Lists Lunyr (LUN)","115003672371"
20330,1514526740000,"2017-12-29 05:52:20","Binance Lists Triggers (TRIG)","115003697872"
20312,1515167173000,"2018-01-05 15:46:13","Binance Lists AppCoins (APPC)","115003793551"
20307,1515565152000,"2018-01-10 06:19:12","Binance Lists VIBE (VIBE)","115003879851"
20306,1515736454000,"2018-01-12 05:54:14","Binance Lists iExec RLC (RLC)","115003950952"
20305,1515997869000,"2018-01-15 06:31:09","Binance Lists INS Ecosystem (INS)","360000008412"
20302,1516677045000,"2018-01-23 03:10:45","Binance Lists PIVX (PIVX)","360000216591"
20301,1516772829000,"2018-01-24 05:47:09","Binance Lists IOStoken (IOST)","360000235812"
20299,1517394095000,"2018-01-31 10:21:35","Binance Lists ChatCoin (CHAT)","360000447931"
20297,1517477249000,"2018-02-01 09:27:29","Binance Lists Steem (STEEM)","360000492012"
20296,1517579007000,"2018-02-02 13:43:27","Binance Lists Nano (NANO)","360000532912"
20295,1517815922000,"2018-02-05 07:32:02","Binance Lists Viacoin (VIA)","360000564532"
20291,1517912444000,"2018-02-06 10:20:44","Binance Lists Bluzelle (BLZ)","360000638211"
20290,1518003652000,"2018-02-07 11:40:52","Binance Lists Aeternity (AE)","360000668312"
20279,1518404578000,"2018-02-12 03:02:58","Binance Lists Red Pulse (RPX)","360000842472"
20273,1519634728000,"2018-02-26 08:45:28","Binance Lists Nucleus Vision (NCASH)","360001198991"
20270,1519800296000,"2018-02-28 06:44:56","Binance Lists POA Network (POA)","360001285971"
20265,1520229161000,"2018-03-05 05:52:41","Binance Lists Round 6 Community Coin Winner - Zilliqa (ZIL)","360001411811"
20262,1520486800000,"2018-03-08 05:26:40","Binance Lists Ontology (ONT)","360001553431"
20258,1520833490000,"2018-03-12 05:44:50","Binance Lists Storm (STORM)","360001626052"
20251,1521525561000,"2018-03-20 05:59:21","Binance Lists NEM (XEM)","360001903091"
20249,1521777088000,"2018-03-23 03:51:28","Binance Lists Wancoin (WAN)","360002030432"
20247,1522053367000,"2018-03-26 08:36:07","Binance Lists Qlink (QLC)","360002108311"
20245,1522224237000,"2018-03-28 08:03:57","Binance Lists Syscoin (SYS)","360002185452"
20243,1522303511000,"2018-03-29 06:05:11","Binance Lists WePower (WPR)","360002259711"
20242,1522649641000,"2018-04-02 06:14:01","Binance Adds QLC/BNB Trading Pair","360002319172"
20238,1522832590000,"2018-04-04 09:03:10","Binance Lists Groestlcoin (GRS)","360002394971"
20237,1522904848000,"2018-04-05 05:07:28","Binance Delists Centra (CTR) Token","360002428872"
20231,1523937238000,"2018-04-17 03:53:58","Binance Adds ADA/BNB and ADA/USDT Trading Pairs","360002770711"
20230,1524032382000,"2018-04-18 06:19:42","Binance Lists CloakCoin (CLOAK)","360002826891"
20228,1524810925000,"2018-04-27 06:35:25","Binance Lists Golem (GNT)","360003082032"
20227,1525241969000,"2018-05-02 06:19:29","Binance Lists Loom Network (LOOM)","360003216612"
20224,1525420997000,"2018-05-04 08:03:17","Binance Adds XRP/USDT Trading Pair","360003376012"
20223,1525747827000,"2018-05-08 02:50:27","Binance Lists Bytecoin (BCN)","360003461372"
20220,1526021793000,"2018-05-11 06:56:33","Binance Lists Augur (REP)","360003789392"
20218,1526456000000,"2018-05-16 07:33:20","Binance Will List TrueUSD (TUSD) on 2018/05/18","360003892832"
20216,1526527047000,"2018-05-17 03:17:27","Notice to Postpone Listing of TrueUSD (TUSD)","360003925232"
20214,1527042652000,"2018-05-23 02:30:52","Binance Lists ZenCash (ZEN)","360004160491"
20213,1527052787000,"2018-05-23 05:19:47","Notice to Postpone Listing of ZenCash (ZEN)","360004162291"
20212,1527058042000,"2018-05-23 06:47:22","Binance To Open Trading For ZenCash (ZEN)","360004163251"
20210,1527069382000,"2018-05-23 09:56:22","Binance Will List Skycoin (SKY) on 2018/05/24","360004168831"
20206,1527480204000,"2018-05-28 04:03:24","Binance Adds EOS/BNB, EOS/USDT Trading Pairs and EOS Mainnet Swap Update","360004246452"
20205,1527495779000,"2018-05-28 08:22:59","Binance Lists Civic (CVC)","360004291071"
20204,1527576325000,"2018-05-29 06:45:25","Binance Lists Theta Token (THETA)","360004314271"
20203,1527757392000,"2018-05-31 09:03:12","Binance Adds XRP/BNB, TUSD/USDT, XLM/USDT and IOTA/USDT Trading Pairs","360004408631"
20202,1527824556000,"2018-06-01 03:42:36","Binance Lists IoTeX (IOTX)","360004401292"
20201,1527833513000,"2018-06-01 06:11:53","EOS Mainnet Swap Update","360004403532"
20198,1528091880000,"2018-06-04 05:58:00","Binance Lists QuarkChain (QKC)","360004451332"
20197,1528102142000,"2018-06-04 08:49:02","Notice to Postpone Listing of QuarkChain (QKC)","360004502151"
20196,1528134993000,"2018-06-04 17:56:33","Binance To Open Trading For QuarkChain (QKC) and Risk Warning","360004471832"
20195,1528182876000,"2018-06-05 07:14:36","Binance Lists SingularityNET (AGI)","360004538211"
20194,1528185759000,"2018-06-05 08:02:39","Notice to Postpone Listing of SingularityNET (AGI)","360004539731"
20192,1528253437000,"2018-06-06 02:50:37","Binance Lists Nexus (NXS)","360004543052"
20189,1528428204000,"2018-06-08 03:23:24","Binance Lists Streamr (DATA)","360004689291"
20188,1528439914000,"2018-06-08 06:38:34","Binance Supports ONT Mainnet Swap and Adds ONT/USDT Trading Pair ","360004692771"
20185,1528768577000,"2018-06-12 01:56:17","Binance Adds ETC/BNB and ETC/USDT Trading Pairs","360004714052"
20181,1528875508000,"2018-06-13 07:38:28","Binance Supports ICX Mainnet Swap and Adds ICX/USDT Trading Pair ","360004753992"
20180,1528943960000,"2018-06-14 02:39:20","Binance Lists Siacoin (SC)","360004844211"
20175,1529466102000,"2018-06-20 03:41:42","Binance Lists Community Coin Round 7 Winner - Pundi X (NPXS)","360004930532"
20172,1529651123000,"2018-06-22 07:05:23","Binance Supports VEN Mainnet Swap and Adds VEN/USDT Trading Pair ","360005001912"
20165,1530066443000,"2018-06-27 02:27:23","Binance Lists SelfKey (KEY)","360005243271"
20163,1530084483000,"2018-06-27 07:28:03","Binance Will List Nebulas (NAS) on 2018/06/28","360005322212"
20148,1530763628000,"2018-07-05 04:07:08","Binance Lists Mainframe (MFT)","360006990251"
20144,1530847167000,"2018-07-06 03:19:27","Binance Lists Dent (DENT)","360006727832"
20132,1531893587000,"2018-07-18 05:59:47","Binance Lists Ardor (ARDR)","360007518891"
20127,1532312359000,"2018-07-23 02:19:19","Binance Supports NULS Mainnet Swap and Adds NULS/USDT Trading Pair ","360007895271"
20126,1532332488000,"2018-07-23 07:54:48","Binance Will List Holo (HOT) on 2018/07/24","360007931511"
20119,1532920065000,"2018-07-30 03:07:45","Binance Lists Dock (DOCK)","360010436071"
20118,1533006369000,"2018-07-31 03:06:09","Binance Lists Community Coin Round 8 Winner - Polymath (POLY)","360010643912"
20107,1534834206000,"2018-08-21 06:50:06","Binance Completes HSR to HC Mainnet Swap and Opens Trading","360013954012"
20091,1536652925000,"2018-09-11 08:02:05","Binance Will List GoChain (GO) on 2018/09/12","360015598692"
20089,1537325220000,"2018-09-19 02:47:00","Binance Adds TRX/BNB Trading Pair","360015889692"
20087,1537508182000,"2018-09-21 05:36:22","Binance Will List Paxos Standard Token (PAX) and Opens Deposits","360016212951"
20086,1538056026000,"2018-09-27 13:47:06","Binance Will List PAX/BNB Trading Pair","360016443951"
20084,1538298093000,"2018-09-30 09:01:33","Binance Will List PAX/BTC Trading Pair","360016545171"
20083,1538637083000,"2018-10-04 07:11:23","Binance Will List PAX/USDT Trading Pair","360016713791"
20081,1538903175000,"2018-10-07 09:06:15","Binance Will List PAX/ETH Trading Pair","360016676392"
20077,1539251946000,"2018-10-11 09:59:06","Binance Will List Ravencoin (RVN) on 2018/10/12","360017544892"
20069,1540264572000,"2018-10-23 03:16:12","Binance Will List Decred (DCR) on 2018/10/24","360018572891"
20058,1542250522000,"2018-11-15 02:55:22","Binance Will List USD Coin (USDC) on 2018/11/17","360019828831"
20057,1542268987000,"2018-11-15 08:03:07","Binance Lists Mithril (MITH)","360019834291"
20056,1542341053000,"2018-11-16 04:04:13","Binance Has Distributed Bitcoin Cash ABC (BCHABC), Bitcoin Cash SV (BCHSV) and Will Open Trading","360019875411"
20054,1543280393000,"2018-11-27 00:59:53","Binance Will Add PAX Quote Pairs into the USDⓈ Trading Market/Tab","360020263451"
20048,1544063863000,"2018-12-06 02:37:43","Binance Lists Republic Protocol (REN)","360020624151"
20046,1544093962000,"2018-12-06 10:59:22","Binance Will Add TUSD Quote Pairs into the USDⓈ Trading Market/Tab","360020638931"
20042,1544756439000,"2018-12-14 03:00:39","Binance Will Add USDC Quote Pairs into the USDⓈ Trading Market/Tab","360020702932"
20041,1545106535000,"2018-12-18 04:15:35","Binance Adds ADA/TUSD, TRX/TUSD and NEO/TUSD Trading Pairs","360021080731"
20037,1545632433000,"2018-12-24 06:20:33","Binance Adds TRX/XRP and XZC/XRP Trading Pairs","360021040432"
20031,1546844696000,"2019-01-07 07:04:56","Binance Will Add PAX/TUSD, USDC/TUSD and USDC/PAX Trading Pairs","360021610391"
20030,1547524825000,"2019-01-15 04:00:25","Binance Will Add LINK/USDT, LINK/TUSD, LINK/PAX and LINK/USDC Trading Pairs","360021982271"
20026,1547693687000,"2019-01-17 02:54:47","Binance Will Add WAVES/USDT, WAVES/TUSD, WAVES/PAX and WAVES/USDC Trading Pairs","360022080831"
20024,1548049077000,"2019-01-21 05:37:57","Binance Will Add Additional Trading Pairs for BCHABC and BCHSV","360022190791"
20022,1548228002000,"2019-01-23 07:20:02","Binance Will Add Additional Trading Pairs for LTC and TRX","360022304431"
20019,1548826824000,"2019-01-30 05:40:24","Binance Lists BitTorrent (BTT) and Completes Distribution for Successful Launchpad Participants and Additional Airdrop","360022429812"
20016,1549015318000,"2019-02-01 10:01:58","Binance Will List StableUSD (USDS) on 2019/02/06","360022747791"
20013,1550035456000,"2019-02-13 05:24:16","Binance Adds USDS/USDT, USDS/PAX, USDS/TUSD and USDS/USDC Trading Pairs","360023302871"
20012,1550114293000,"2019-02-14 03:18:13","Binance Adds BTT/PAX, BTT/TUSD and BTT/USDC Trading Pairs","360023573771"
20010,1550223108000,"2019-02-15 09:31:48","Binance Will List Ontology Gas (ONG)","360023804971"
20008,1550470365000,"2019-02-18 06:12:45","Binance Adds HOT/BNB and HOT/USDT Trading Pairs","360023982571"
20007,1550560103000,"2019-02-19 07:08:23","Binance Adds ZIL/USDT Trading Pair","360023769852"
20002,1551259348000,"2019-02-27 09:22:28","Binance Adds ZRX/BNB and ZRX/USDT Trading Pairs","360024337232"
20001,1551262909000,"2019-02-27 10:21:49","Binance Lists Fetch.AI (FET) and Completes Distribution for Successful Launchpad Participants","360024623051"
19998,1551682169000,"2019-03-04 06:49:29","Binance Adds BAT/USDT Trading Pair","360024798251"
19989,1552381864000,"2019-03-12 09:11:04","Binance Will Add TUSD Quote Pairs into the USDⓈ Trading Market/Tab","360025207051"
