date,year,quarter,ym,cat,title
2017-07-21,2017,2017Q3,2017-07,spot,Qtum Trading on Binance
2017-08-02,2017,2017Q3,2017-08,other,The Announcement for BCC Distribution 
2017-08-09,2017,2017Q3,2017-08,other,Binance Opens BNB/ETH Trading Market
2017-08-13,2017,2017Q3,2017-08,trading_pairs,Binance Will Add USDT Market Soon(Updated)
2017-08-18,2017,2017Q3,2017-08,spot_legacy,"Binance Will Add OAX, DNT, MCO, ICN "
2017-08-23,2017,2017Q3,2017-08,trading_pairs,Binance Will Add MCO/BTC Trading Pair On August 24
2017-08-24,2017,2017Q3,2017-08,spot_legacy,Binance Will Add WTC(Walton) on August 27
2017-09-09,2017,2017Q3,2017-09,spot,Binance Will List OMG Market
2017-09-11,2017,2017Q3,2017-09,spot,Binance Will List ZRX Market
2017-09-12,2017,2017Q3,2017-09,spot,Binance will List STRAT Market
2017-09-18,2017,2017Q3,2017-09,spot,Binance Lists SNGLS
2017-09-20,2017,2017Q3,2017-09,spot, Binance Lists BQX
2017-09-25,2017,2017Q3,2017-09,spot,Binance Lists KNC
2017-09-26,2017,2017Q3,2017-09,spot,Binance Lists FUN
2017-09-27,2017,2017Q3,2017-09,spot,Binance Lists SNM
2017-09-28,2017,2017Q3,2017-09,trading_pairs,Binance Adds NEO/ETH Trading Pair
2017-09-28,2017,2017Q3,2017-09,spot,Binance Lists LINK
2017-09-29,2017,2017Q3,2017-09,spot,Binance Lists XVG
2017-09-29,2017,2017Q3,2017-09,spot,Binance Lists CTR
2017-09-30,2017,2017Q3,2017-09,spot,Binance Lists SALT
2017-09-30,2017,2017Q3,2017-09,spot,Binance Lists IOTA
2017-10-05,2017,2017Q4,2017-10,spot,Binance Lists MDA
2017-10-09,2017,2017Q4,2017-10,spot,Binance Lists MTL
2017-10-10,2017,2017Q4,2017-10,spot,Binance Lists SUB
2017-10-11,2017,2017Q4,2017-10,trading_pairs,Binance Adds EOS/BTC Trading Pair
2017-10-12,2017,2017Q4,2017-10,trading_pairs,Binance Adds SNT/BTC Trading Pair
2017-10-12,2017,2017Q4,2017-10,spot,Binance Lists ETC
2017-10-13,2017,2017Q4,2017-10,spot,Binance Lists MTH
2017-10-13,2017,2017Q4,2017-10,spot,Binance Lists ENG
2017-10-16,2017,2017Q4,2017-10,trading_pairs,Binance Adds DNT/BTC Trading Pair
2017-10-17,2017,2017Q4,2017-10,trading_pairs,Binance Adds BNT/BTC Trading Pair
2017-10-19,2017,2017Q4,2017-10,spot,Binance Lists AST
