phase,start,end,days,spot,futures,listings_per_month,daily_flow_m
疫情崩盘,2020-03-01,2020-03-31,31,1,0,1.0,8.8
牛市初期（DeFi Summer）,2020-04-01,2020-10-31,214,51,38,12.6,73.4
牛市主升浪,2020-11-01,2021-04-30,181,56,34,15.1,345.6
牛市中继（519暴跌）,2021-05-01,2021-07-31,92,21,3,7.9,324.0
牛市末期（双顶）,2021-08-01,2021-11-30,122,34,10,11.0,283.8
熊市初段（LUNA前）,2021-12-01,2022-06-30,212,30,22,7.5,16.7
熊市中继（FTX）,2022-07-01,2022-11-30,153,6,11,3.4,-76.8
熊市末期（监管冻结）,2022-12-01,2023-09-30,304,18,54,7.2,-57.0
牛市初期（ETF预期）,2023-10-01,2024-03-31,183,29,49,13.0,145.3
牛市中期（减半震荡）,2024-04-01,2024-10-31,214,28,41,9.8,109.1
牛市主升（特朗普）,2024-11-01,2025-01-31,92,21,50,23.5,495.2
高位震荡/1011崩盘,2025-02-01,2025-10-31,273,82,97,19.9,323.3
结构分化期（当前）,2025-11-01,2026-09-30,334,36,77,10.3,14.1
