quarter,spot_new,futures_new,sc_start_b,sc_end_b,sc_change_b,daily_avg_m
2020Q1,2,20,4.17,5.5,1.33,14.7
2020Q2,6,6,5.48,11.36,5.87,65.3
2020Q3,36,25,11.38,19.22,7.84,86.2
2020Q4,29,19,19.24,27.07,7.83,86.0
2021Q1,30,19,27.38,62.97,35.59,399.9
2021Q2,20,6,64.04,109.93,45.89,509.9
2021Q3,21,3,110.43,127.65,17.22,189.2
2021Q4,31,11,127.41,163.25,35.84,393.9
2022Q1,14,10,162.61,187.76,25.15,282.5
2022Q2,5,8,187.28,153.23,-34.05,-378.3
2022Q3,1,8,153.11,149.9,-3.2,-35.2
2022Q4,6,3,148.65,137.78,-10.87,-119.4
2023Q1,7,24,137.68,132.14,-5.54,-62.3
2023Q2,5,16,131.62,128.12,-3.51,-39.0
2023Q3,5,14,127.51,123.87,-3.64,-39.9
2023Q4,12,39,123.99,130.53,6.54,71.9
2024Q1,17,10,130.26,150.58,20.31,225.7
2024Q2,11,2,150.31,161.51,11.2,124.5
2024Q3,13,32,161.27,173.35,12.08,132.8
2024Q4,20,41,172.72,205.83,33.11,363.8
2025Q1,25,30,205.18,234.7,29.52,331.7
2025Q2,25,37,234.91,252.67,17.77,197.4
2025Q3,25,37,252.94,297.16,44.22,485.9
2025Q4,19,29,298.58,307.98,9.39,103.2
2026Q1,15,30,307.24,314.6,7.36,82.7
2026Q2,7,17,315.36,311.08,-4.28,-47.5
2026Q3,7,10,310.33,311.83,1.5,20.5
